contract_date,contract_no.,sent_to_laserfiche_contract,sent_to_laserfiche_fixation,customer_name,consignee_name,trade_slip_contract_price,trade_slip_total_cost,trade_slip_net_price,country,agent_name,vmi,amendment,commodity,origin,contract_quality,quality_type,crop_year,local_quality_text,sales_terms,from,shipped_from_country,final_destination,destination_country,payment_terms,delivery_shipment,delivery_or_shipment_period,quantity,quantity_unit,weight_mt,net_weight_in_lots__in_mt_,gross_weight_in_lots__in_mt_,unapplied_weight_mt,uninvoiced_weight_mt,washout_weight_in_mt,uninvoiced_quantity,l_c_numbers,+__,price,price_unit,price_method,cover_month,cover_year,average_price,market_price,market_price_unit,hypothetical_exchange,hypothetical_cover_month,hypothetical_cover_year,hypothetical_on_off_ratio,hypothetical_differential_ratio,hypothetical_differential_price_unit,sas_approved,posting_dates,on_call_balance,total_weight_fixed,number_of_lot_to_be_fixed,number_of_lot_fixed,trade_slip_price,market_price2,selling_commission,buying_commission,fob_nett,anticipated_margin,anticipated_purchase_price,costs_to_fob_new_trade_slip,freight_new_trade_slip,insurance_new_trade_slip,other_costs_new_trade_slip,controlling_costs_new_trade_slip,bank_charges_costs_new_trade_slip,weight_loss_costs_new_trade_slip,interest_costs_new_trade_slip,cost_hedge_costs_new_trade_slip,custom_charge_costs_new_trade_slip,custom_duties_costs_new_trade_slip,customer,commission_price_unit,commission_on_amount_rate__%_,commission_on_quantity_sign,commission_on_quantity_rate,commission_on_weight_sign,commission_on_weight_rate,commission_on_price_unit_sign,commission_on_price_unit_rate,agent_commission_price_unit,agent_on_amount_rate__%_,agent_on_weight_sign,agent_on_price_unit_rate,periods__begin_,periods__end_,price__exchange_,exchange_price_unit,s.i._no.,s.i._date,advice_no.,advice_date,fixation_date,created_on,created_by,invoiced,invoiced_on,third_party_invoiced_amount,third_party_currency,margin_percentage,is_invoiced
2023-11-01,CT2023110034,0,0,African Export Group,Land Transport Group,11292.15,9598.33,638232.32,France,,,,Cashew Kernels Pieces,Nigeria,,,2023,,FCA,Nigeria,Nigeria,France,France,LC 30 days,Prompt,November 2023,3,Containers,56.52,56.52,57.65,0,0.0,0,0,,,11292.15,USD/MT,Fixed,,,11292.15,11799.86,USD/MT,,,,,,,0,,0,56.52,0,3,11292.15,,6382.32,3191.16,625467.67,95734.71,9598.33,959.83,2826.0,1276.46,3191.16,0,638.23,0,0,0,0,0,African Export Group,USD/MT,1.0,,0,,0,,0,,0,,0,2023-11-01,2023-12-01,,,,,,,,2023-11-01,System,1,2023-11-20,631251.11,EUR,15.0,1
2022-02-11,CT2022020035,0,1,Mountain View Imports,Global Storage Co.,9525.75,8096.89,169177.32,United Kingdom,,,,Cashew Kernels BB,India,,,2022,,CFR,India,India,United Kingdom,United Kingdom,LC 90 days,Prompt,February 2022,1,Containers,17.76,17.76,18.12,0,0.0,0,0,,,9525.75,USD/MT,Fixed,,,9525.75,9152.43,USD/MT,,,,,,,0,,0,17.76,0,1,9525.75,,1691.77,845.89,165793.77,25376.55,8096.89,809.69,888.0,338.35,845.89,0,169.18,0,0,0,0,0,Mountain View Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2022-02-11,2022-03-13,,,,,,,,2022-02-11,System,1,2022-04-12,161687.27,USD,15.0,1
2023-10-01,CT2023100036,0,0,Mountain View Imports,Land Transport Group,13814.0,11741.9,246856.18,South Korea,,,,Cashew Kernels SW,Ghana,,,2023,,CIF,Ghana,Ghana,South Korea,South Korea,LC 30 days,Prompt,October 2023,1,Containers,17.87,17.87,18.23,0,17.87,0,1,,,13814.0,USD/MT,Fixed,,,13814.0,13602.93,USD/MT,,,,,,,1,,0,0.0,0,0,13814.0,,2468.56,1234.28,241919.06,37028.43,11741.9,1174.19,893.5,493.71,1234.28,0,246.86,0,0,0,0,0,Mountain View Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2023-10-01,2023-10-31,,,,,,,,2023-10-01,System,0,,0.0,GBP,15.0,0
2024-01-29,CT2024010037,1,0,Asia Pacific Imports,Inland Warehousing,8738.77,7427.95,656805.95,UAE,,,,Cashew Kernels W240,Ivory Coast,,,2024,,CFR,Ivory Coast,Ivory Coast,UAE,UAE,CAD,Prompt,January 2024,4,Containers,75.16,75.16,76.66,0,75.16,0,4,,,8738.77,USD/MT,Fixed,,,8738.77,8943.08,USD/MT,,,,,,,1,,0,0.0,0,0,8738.77,,6568.06,3284.03,643669.83,98521.23,7427.95,742.8,3758.0,1313.61,3284.03,0,656.81,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2024-01-29,2024-02-28,,,,,,,,2024-01-29,System,0,,0.0,EUR,15.0,0
2024-09-17,CT2024090038,1,1,Continental Distributors,Land Transport Group,13815.12,11742.85,783593.61,China,,,,Cashew Kernels LWP,Ghana,,,2024,,FOB,Ghana,Ghana,China,China,LC 90 days,Prompt,September 2024,3,Containers,56.72,56.72,57.85,0,0.0,0,0,,,13815.12,USD/MT,Fixed,,,13815.12,13164.01,USD/MT,,,,,,,1,,0,56.72,0,3,13815.12,,7835.94,3917.97,767921.74,117539.16,11742.85,1174.29,2836.0,1567.19,3917.97,0,783.59,0,0,0,0,0,Continental Distributors,USD/MT,1.0,,0,,0,,0,,0,,0,2024-09-17,2024-10-17,,,,,,,,2024-09-17,System,1,2024-10-31,766740.46,EUR,15.0,1
2023-01-08,CT2023010039,1,1,Continental Distributors,Express Freight Services,12173.09,10347.13,606950.27,Japan,,,,Cashew Kernels LWP,Nigeria,,,2023,,CFR,Nigeria,Nigeria,Japan,Japan,TT 30 days,Prompt,January 2023,3,Containers,49.86,49.86,50.86,0,0.0,0,0,,,12173.09,USD/MT,Fixed,,,12173.09,12240.26,USD/MT,,,,,,,0,,0,49.86,0,3,12173.09,,6069.5,3034.75,594811.26,91042.37,10347.13,1034.71,2493.0,1213.9,3034.75,0,606.95,0,0,0,0,0,Continental Distributors,USD/MT,1.0,,0,,0,,0,,0,,0,2023-01-08,2023-02-07,,,,,,,,2023-01-08,System,1,2023-02-04,579200.9,USD,15.0,1
2024-09-02,CT2024090040,1,1,Sunrise Trading LLC,Coastal Distribution,10830.81,9206.19,180657.91,Australia,,,,Cashew Kernels W240,Nigeria,,,2024,,CIF,Nigeria,Nigeria,Australia,Australia,LC 90 days,Prompt,September 2024,1,Containers,16.68,16.68,17.01,0,0.0,0,0,,,10830.81,USD/MT,Fixed,,,10830.81,11368.7,USD/MT,,,,,,,1,,0,16.68,0,1,10830.81,,1806.58,903.29,177044.75,27098.66,9206.19,920.62,834.0,361.32,903.29,0,180.66,0,0,0,0,0,Sunrise Trading LLC,USD/MT,1.0,,0,,0,,0,,0,,0,2024-09-02,2024-10-02,,,,,,,,2024-09-02,System,1,2024-10-17,176624.48,GBP,15.0,1
2023-12-22,CT2023120041,0,0,Golden Harvest Co.,Coastal Distribution,9348.09,7945.88,298858.44,France,,,,Cashew Kernels LWP,Ivory Coast,,,2023,,FOB,Ivory Coast,Ivory Coast,France,France,CAD,Prompt,December 2023,2,Containers,31.97,31.97,32.61,0,31.97,0,2,,,9348.09,USD/MT,Fixed,,,9348.09,9082.96,USD/MT,,,,,,,1,,0,0.0,0,0,9348.09,,2988.58,1494.29,292881.27,44828.66,7945.88,794.59,1598.5,597.72,1494.29,0,298.86,0,0,0,0,0,Golden Harvest Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2023-12-22,2024-01-21,,,,,,,,2023-12-22,System,0,,0.0,GBP,15.0,0
2023-07-21,CT2023070042,0,0,Golden Harvest Co.,Quick Ship Logistics,10073.73,8562.67,189688.34,India,,,,Cashew Kernels LWP,Mozambique,,,2023,,CFR,Mozambique,Mozambique,India,India,LC 60 days,Prompt,July 2023,1,Containers,18.83,18.83,19.21,0,0.0,0,0,,,10073.73,USD/MT,Fixed,,,10073.73,10127.48,USD/MT,,,,,,,0,,0,18.83,0,1,10073.73,,1896.88,948.44,185894.57,28453.26,8562.67,856.27,941.5,379.38,948.44,0,189.69,0,0,0,0,0,Golden Harvest Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2023-07-21,2023-08-20,,,,,,,,2023-07-21,System,1,2023-09-08,181404.49,EUR,15.0,1
2024-10-02,CT2024100043,0,0,Asia Pacific Imports,Warehouse Solutions Inc.,9290.55,7896.97,641512.48,Singapore,,,,Cashew Kernels BB,Ivory Coast,,,2024,,FOB,Ivory Coast,Ivory Coast,Singapore,Singapore,LC 90 days,Prompt,October 2024,4,Containers,69.05,69.05,70.43,0,0.0,0,0,,,9290.55,USD/MT,Fixed,,,9290.55,8966.99,USD/MT,,,,,,,1,,0,69.05,0,4,9290.55,,6415.12,3207.56,628682.23,96226.7,7896.97,789.7,3452.5,1283.02,3207.56,0,641.51,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2024-10-02,2024-11-01,,,,,,,,2024-10-02,System,1,2024-10-21,622289.8,EUR,15.0,1
2022-06-24,CT2022060044,1,1,American Cashew Corp.,Port Logistics Ltd.,12328.93,10479.59,1102452.92,Canada,,,,Cashew Kernels Pieces,Nigeria,,,2022,,FCA,Nigeria,Nigeria,Canada,Canada,TT Advance,Prompt,June 2022,5,Containers,89.42,89.42,91.21,0,89.42,0,5,,,12328.93,USD/MT,Fixed,,,12328.93,12088.98,USD/MT,,,,,,,0,,0,0.0,0,0,12328.93,,11024.53,5512.26,1080403.86,165367.98,10479.59,1047.96,4471.0,2204.91,5512.26,0,1102.45,0,0,0,0,0,American Cashew Corp.,USD/MT,1.0,,0,,0,,0,,0,,0,2022-06-24,2022-07-24,,,,,,,,2022-06-24,System,0,,0.0,EUR,15.0,0
2022-07-23,CT2022070045,1,0,Blue Ocean Exports,Express Freight Services,9216.69,7834.19,148665.21,UAE,,,,Cashew Kernels LWP,India,,,2022,,FOB,India,India,UAE,UAE,LC 60 days,Prompt,July 2022,1,Containers,16.13,16.13,16.45,0,0.0,0,0,,,9216.69,USD/MT,Fixed,,,9216.69,8969.2,USD/MT,,,,,,,1,,0,16.13,0,1,9216.69,,1486.65,743.33,145691.91,22299.73,7834.19,783.42,806.5,297.33,743.33,0,148.67,0,0,0,0,0,Blue Ocean Exports,USD/MT,1.0,,0,,0,,0,,0,,0,2022-07-23,2022-08-22,,,,,,,,2022-07-23,System,1,2022-09-20,145645.9,USD,15.0,1
2024-07-18,CT2024070046,1,1,Asia Pacific Imports,Express Freight Services,9573.67,8137.62,611183.09,Brazil,,,,Cashew Kernels SW,Ivory Coast,,,2024,,CIF,Ivory Coast,Ivory Coast,Brazil,Brazil,LC 90 days,Prompt,July 2024,4,Containers,63.84,63.84,65.12,0,0.0,0,0,,,9573.67,USD/MT,Fixed,,,9573.67,9214.04,USD/MT,,,,,,,1,,0,63.84,0,4,9573.67,,6111.83,3055.92,598959.43,91677.43,8137.62,813.76,3192.0,1222.37,3055.92,0,611.18,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2024-07-18,2024-08-17,,,,,,,,2024-07-18,System,1,2024-08-12,604845.99,USD,15.0,1
2024-04-04,CT2024040047,0,1,Middle East Trading,Inland Warehousing,14225.96,12092.07,254502.42,Canada,,,,Cashew Kernels BB,Tanzania,,,2024,,CFR,Tanzania,Tanzania,Canada,Canada,TT 30 days,Prompt,April 2024,1,Containers,17.89,17.89,18.25,0,0.0,0,0,,,14225.96,USD/MT,Fixed,,,14225.96,14334.43,USD/MT,,,,,,,0,,0,17.89,0,1,14225.96,,2545.02,1272.51,249412.37,38175.29,12092.07,1209.21,894.5,509.0,1272.51,0,254.5,0,0,0,0,0,Middle East Trading,USD/MT,1.0,,0,,0,,0,,0,,0,2024-04-04,2024-05-04,,,,,,,,2024-04-04,System,1,2024-05-03,254017.73,EUR,15.0,1
2024-08-21,CT2024080048,0,1,Ocean Trade Partners,Coastal Distribution,13699.71,11644.75,1181189.0,Brazil,,,,Cashew Kernels W450,Ivory Coast,,,2024,,FOB,Ivory Coast,Ivory Coast,Brazil,Brazil,TT Advance,Prompt,August 2024,5,Containers,86.22,86.22,87.94,0,0.0,0,0,,,13699.71,USD/MT,Fixed,,,13699.71,13578.67,USD/MT,,,,,,,1,,0,86.22,0,5,13699.71,,11811.89,5905.94,1157565.22,177178.66,11644.75,1164.48,4311.0,2362.38,5905.94,0,1181.19,0,0,0,0,0,Ocean Trade Partners,USD/MT,1.0,,0,,0,,0,,0,,0,2024-08-21,2024-09-20,,,,,,,,2024-08-21,System,1,2024-09-25,1161707.27,EUR,15.0,1
2023-08-14,CT2023080049,0,1,Sunrise Trading LLC,Land Transport Group,9766.79,8301.77,619312.15,China,,,,Cashew Kernels W240,Nigeria,,,2023,,FOB,Nigeria,Nigeria,China,China,TT Advance,Prompt,August 2023,4,Containers,63.41,63.41,64.68,0,63.41,0,4,,,9766.79,USD/MT,Fixed,,,9766.79,9682.06,USD/MT,,,,,,,0,,0,0.0,0,0,9766.79,,6193.12,3096.56,606925.91,92896.91,8301.77,830.18,3170.5,1238.62,3096.56,0,619.31,0,0,0,0,0,Sunrise Trading LLC,USD/MT,1.0,,0,,0,,0,,0,,0,2023-08-14,2023-09-13,,,,,,,,2023-08-14,System,0,,0.0,GBP,15.0,0
2024-11-27,CT2024110050,0,0,African Export Group,Quick Ship Logistics,11844.54,10067.86,193184.45,India,,,,Cashew Kernels BB,Tanzania,,,2024,,CFR,Tanzania,Tanzania,India,India,TT Advance,Prompt,November 2024,1,Containers,16.31,16.31,16.64,0,0.0,0,0,,,11844.54,USD/MT,Fixed,,,11844.54,11620.38,USD/MT,,,,,,,0,,0,16.31,0,1,11844.54,,1931.84,965.92,189320.76,28977.65,10067.86,1006.79,815.5,386.37,965.92,0,193.18,0,0,0,0,0,African Export Group,USD/MT,1.0,,0,,0,,0,,0,,0,2024-11-27,2024-12-27,,,,,,,,2024-11-27,System,1,2024-12-13,192925.07,GBP,15.0,1
2024-04-15,CT2024040051,0,1,Asia Pacific Imports,Express Freight Services,9077.8,7716.13,164217.4,China,,,,Cashew Kernels BB,Vietnam,,,2024,,CFR,Vietnam,Vietnam,China,China,TT 30 days,Prompt,April 2024,1,Containers,18.09,18.09,18.45,0,0.0,0,0,,,9077.8,USD/MT,Fixed,,,9077.8,9124.34,USD/MT,,,,,,,1,,0,18.09,0,1,9077.8,,1642.17,821.09,160933.05,24632.61,7716.13,771.61,904.5,328.43,821.09,0,164.22,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2024-04-15,2024-05-15,,,,,,,,2024-04-15,System,1,2024-05-30,164055.19,GBP,15.0,1
2023-01-26,CT2023010052,1,1,Royal Nut Company,Quick Ship Logistics,13530.04,11500.53,224598.66,Canada,,,,Cashew Kernels W450,Ghana,,,2023,,EXW,Ghana,Ghana,Canada,Canada,LC 90 days,Prompt,January 2023,1,Containers,16.6,16.6,16.93,0,0.0,0,0,,,13530.04,USD/MT,Fixed,,,13530.04,14024.24,USD/MT,,,,,,,1,,0,16.6,0,1,13530.04,,2245.99,1122.99,220106.69,33689.86,11500.53,1150.05,830.0,449.2,1122.99,0,224.6,0,0,0,0,0,Royal Nut Company,USD/MT,1.0,,0,,0,,0,,0,,0,2023-01-26,2023-02-25,,,,,,,,2023-01-26,System,1,2023-02-10,216544.99,GBP,15.0,1
2024-09-18,CT2024090053,1,1,African Export Group,Air Cargo International,14087.21,11974.13,1083729.07,Canada,,,,Cashew Kernels Pieces,Nigeria,,,2024,,CIF,Nigeria,Nigeria,Canada,Canada,TT 30 days,Prompt,September 2024,4,Containers,76.93,76.93,78.47,0,0.0,0,0,,,14087.21,USD/MT,Fixed,,,14087.21,13926.73,USD/MT,,,,,,,0,,0,76.93,0,4,14087.21,,10837.29,5418.65,1062054.49,162559.25,11974.13,1197.41,3846.5,2167.46,5418.65,0,1083.73,0,0,0,0,0,African Export Group,USD/MT,1.0,,0,,0,,0,,0,,0,2024-09-18,2024-10-18,,,,,,,,2024-09-18,System,1,2024-10-29,1031907.71,EUR,15.0,1
2024-10-11,CT2024100054,1,0,Global Trading Co.,Global Storage Co.,11082.14,9419.82,210560.66,Canada,,,,Cashew Kernels Splits,Mozambique,,,2024,,FCA,Mozambique,Mozambique,Canada,Canada,TT Advance,Prompt,October 2024,1,Containers,19.0,19.0,19.38,0,19.0,0,1,,,11082.14,USD/MT,Fixed,,,11082.14,10610.96,USD/MT,,,,,,,1,,0,0.0,0,0,11082.14,,2105.61,1052.8,206349.45,31584.08,9419.82,941.98,950.0,421.12,1052.8,0,210.56,0,0,0,0,0,Global Trading Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2024-10-11,2024-11-10,,,,,,,,2024-10-11,System,0,,0.0,USD,15.0,0
2023-11-25,CT2023110055,1,0,Mountain View Imports,Land Transport Group,10216.63,8684.14,869435.21,UAE,,,,Cashew Kernels Splits,Vietnam,,,2023,,EXW,Vietnam,Vietnam,UAE,UAE,TT 30 days,Prompt,November 2023,5,Containers,85.1,85.1,86.8,0,0.0,0,0,,,10216.63,USD/MT,Fixed,,,10216.63,10468.74,USD/MT,,,,,,,1,,0,85.1,0,5,10216.63,,8694.35,4347.18,852046.51,130414.9,8684.14,868.41,4255.0,1738.87,4347.18,0,869.44,0,0,0,0,0,Mountain View Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2023-11-25,2023-12-25,,,,,,,,2023-11-25,System,1,2023-12-25,853401.13,USD,15.0,1
2022-07-21,CT2022070056,0,0,Blue Ocean Exports,Port Logistics Ltd.,13573.0,11537.05,212824.64,Australia,,,,Cashew Kernels LWP,India,,,2022,,CFR,India,India,Australia,Australia,LC 90 days,Prompt,July 2022,1,Containers,15.68,15.68,15.99,0,0.0,0,0,,,13573.0,USD/MT,Fixed,,,13573.0,13131.97,USD/MT,,,,,,,1,,0,15.68,0,1,13573.0,,2128.25,1064.12,208568.15,31923.7,11537.05,1153.7,784.0,425.65,1064.12,0,212.82,0,0,0,0,0,Blue Ocean Exports,USD/MT,1.0,,0,,0,,0,,0,,0,2022-07-21,2022-08-20,,,,,,,,2022-07-21,System,1,2022-08-20,207835.67,EUR,15.0,1
2023-05-09,CT2023050057,1,1,Continental Distributors,Quick Ship Logistics,12667.89,10767.71,658856.96,Netherlands,,,,Cashew Kernels BB,India,,,2023,,EXW,India,India,Netherlands,Netherlands,LC 90 days,Prompt,May 2023,3,Containers,52.01,52.01,53.05,0,0.0,0,0,,,12667.89,USD/MT,Fixed,,,12667.89,12843.9,USD/MT,,,,,,,1,,0,52.01,0,3,12667.89,,6588.57,3294.28,645679.82,98828.36,10767.71,1076.77,2600.5,1317.71,3294.28,0,658.86,0,0,0,0,0,Continental Distributors,USD/MT,1.0,,0,,0,,0,,0,,0,2023-05-09,2023-06-08,,,,,,,,2023-05-09,System,1,2023-05-28,640465.95,GBP,15.0,1
2023-05-28,CT2023050058,0,0,Continental Distributors,Maritime Shipping Corp.,12003.46,10202.94,197456.92,United Kingdom,,,,Cashew Kernels BB,Tanzania,,,2023,,FCA,Tanzania,Tanzania,United Kingdom,United Kingdom,LC 90 days,Prompt,May 2023,1,Containers,16.45,16.45,16.78,0,0.0,0,0,,,12003.46,USD/MT,Fixed,,,12003.46,12496.34,USD/MT,,,,,,,1,,0,16.45,0,1,12003.46,,1974.57,987.28,193507.78,29618.56,10202.94,1020.29,822.5,394.91,987.28,0,197.46,0,0,0,0,0,Continental Distributors,USD/MT,1.0,,0,,0,,0,,0,,0,2023-05-28,2023-06-27,,,,,,,,2023-05-28,System,1,2023-07-24,191491.8,GBP,15.0,1
2023-08-10,CT2023080059,0,1,Blue Ocean Exports,Express Freight Services,12346.24,10494.3,445575.8,Singapore,,,,Cashew Kernels Splits,Nigeria,,,2023,,CIF,Nigeria,Nigeria,Singapore,Singapore,CAD,Prompt,August 2023,2,Containers,36.09,36.09,36.81,0,36.09,0,2,,,12346.24,USD/MT,Fixed,,,12346.24,12702.57,USD/MT,,,,,,,0,,0,0.0,0,0,12346.24,,4455.76,2227.88,436664.28,66836.51,10494.3,1049.43,1804.5,891.15,2227.88,0,445.58,0,0,0,0,0,Blue Ocean Exports,USD/MT,1.0,,0,,0,,0,,0,,0,2023-08-10,2023-09-09,,,,,,,,2023-08-10,System,0,,0.0,USD,15.0,0
2024-01-18,CT2024010060,1,1,Golden Harvest Co.,Global Storage Co.,8925.12,7586.35,578437.03,Germany,,,,Cashew Kernels Splits,Ivory Coast,,,2024,,FCA,Ivory Coast,Ivory Coast,Germany,Germany,LC 90 days,Prompt,January 2024,4,Containers,64.81,64.81,66.11,0,0.0,0,0,,,8925.12,USD/MT,Fixed,,,8925.12,9342.27,USD/MT,,,,,,,1,,0,64.81,0,4,8925.12,,5784.37,2892.19,566868.29,86765.69,7586.35,758.64,3240.5,1156.87,2892.19,0,578.44,0,0,0,0,0,Golden Harvest Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2024-01-18,2024-02-17,,,,,,,,2024-01-18,System,1,2024-02-19,573533.98,GBP,15.0,1
2023-11-25,CT2023110061,0,1,Blue Ocean Exports,Port Logistics Ltd.,13069.52,11109.09,495073.42,Australia,,,,Cashew Kernels W450,Vietnam,,,2023,,EXW,Vietnam,Vietnam,Australia,Australia,TT 30 days,Prompt,November 2023,2,Containers,37.88,37.88,38.64,0,0.0,0,0,,,13069.52,USD/MT,Fixed,,,13069.52,12897.77,USD/MT,,,,,,,1,,0,37.88,0,2,13069.52,,4950.73,2475.37,485171.95,74261.09,11109.09,1110.91,1894.0,990.15,2475.37,0,495.07,0,0,0,0,0,Blue Ocean Exports,USD/MT,1.0,,0,,0,,0,,0,,0,2023-11-25,2023-12-25,,,,,,,,2023-11-25,System,1,2024-01-04,470664.29,EUR,15.0,1
2024-02-20,CT2024020062,1,1,Green Valley Foods,Air Cargo International,14189.64,12061.19,885433.54,Germany,,,,Cashew Kernels SW,Ghana,,,2024,,FCA,Ghana,Ghana,Germany,Germany,LC 90 days,Prompt,February 2024,4,Containers,62.4,62.4,63.65,0,0.0,0,0,,,14189.64,USD/MT,Fixed,,,14189.64,14401.41,USD/MT,,,,,,,0,,0,62.4,0,4,14189.64,,8854.34,4427.17,867724.87,132815.28,12061.19,1206.12,3120.0,1770.87,4427.17,0,885.43,0,0,0,0,0,Green Valley Foods,USD/MT,1.0,,0,,0,,0,,0,,0,2024-02-20,2024-03-21,,,,,,,,2024-02-20,System,1,2024-03-10,869292.26,GBP,15.0,1
2022-10-14,CT2022100063,1,0,Global Trading Co.,Warehouse Solutions Inc.,11762.83,9998.41,193380.93,France,,,,Cashew Kernels W320,Tanzania,,,2022,,EXW,Tanzania,Tanzania,France,France,TT Advance,Prompt,October 2022,1,Containers,16.44,16.44,16.77,0,0.0,0,0,,,11762.83,USD/MT,Fixed,,,11762.83,12216.19,USD/MT,,,,,,,0,,0,16.44,0,1,11762.83,,1933.81,966.9,189513.31,29007.07,9998.41,999.84,822.0,386.76,966.9,0,193.38,0,0,0,0,0,Global Trading Co.,USD/MT,1.0,,0,,0,,0,,0,,0,2022-10-14,2022-11-13,,,,,,,,2022-10-14,System,1,2022-12-12,192858.55,EUR,15.0,1
2024-09-29,CT2024090064,1,1,Mountain View Imports,Land Transport Group,14653.89,12455.81,506291.9,France,,,,Cashew Kernels Splits,Vietnam,,,2024,,CFR,Vietnam,Vietnam,France,France,LC 30 days,Prompt,September 2024,2,Containers,34.55,34.55,35.24,0,0.0,0,0,,,14653.89,USD/MT,Fixed,,,14653.89,14199.34,USD/MT,,,,,,,0,,0,34.55,0,2,14653.89,,5062.92,2531.46,496166.06,75943.66,12455.81,1245.58,1727.5,1012.58,2531.46,0,506.29,0,0,0,0,0,Mountain View Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2024-09-29,2024-10-29,,,,,,,,2024-09-29,System,1,2024-11-24,490056.99,GBP,15.0,1
2024-07-20,CT2024070065,0,0,Asia Pacific Imports,Express Freight Services,9704.98,8249.23,180997.88,UAE,,,,Cashew Kernels W240,Ghana,,,2024,,CIF,Ghana,Ghana,UAE,UAE,TT 30 days,Prompt,July 2024,1,Containers,18.65,18.65,19.02,0,0.0,0,0,,,9704.98,USD/MT,Fixed,,,9704.98,9538.6,USD/MT,,,,,,,0,,0,18.65,0,1,9704.98,,1809.98,904.99,177377.92,27149.74,8249.23,824.92,932.5,362.0,904.99,0,181.0,0,0,0,0,0,Asia Pacific Imports,USD/MT,1.0,,0,,0,,0,,0,,0,2024-07-20,2024-08-19,,,,,,,,2024-07-20,System,1,2024-09-08,173822.74,USD,15.0,1
2022-01-06,CT2022010066,0,1,Middle East Trading,Global Storage Co.,14065.14,11955.37,448396.66,Netherlands,,,,Cashew Kernels LWP,Mozambique,,,2022,,CIF,Mozambique,Mozambique,Netherlands,Netherlands,LC 30 days,Prompt,January 2022,2,Containers,31.88,31.88,32.52,0,31.88,0,2,,,14065.14,USD/MT,Fixed,,,14065.14,13384.08,USD/MT,,,,,,,1,,0,0.0,0,0,14065.14,,4483.97,2241.98,439428.73,67259.46,11955.37,1195.54,1594.0,896.79,2241.98,0,448.4,0,0,0,0,0,Middle East Trading,USD/MT,1.0,,0,,0,,0,,0,,0,2022-01-06,2022-02-05,,,,,,,,2022-01-06,System,0,,0.0,EUR,15.0,0
2022-04-18,CT2022040067,1,1,Euro Nuts Ltd.,Land Transport Group,10534.27,8954.13,728655.46,Canada,,,,Cashew Kernels W320,Vietnam,,,2022,,FCA,Vietnam,Vietnam,Canada,Canada,LC 30 days,Prompt,April 2022,4,Containers,69.17,69.17,70.55,0,0.0,0,0,,,10534.27,USD/MT,Fixed,,,10534.27,10685.27,USD/MT,,,,,,,0,,0,69.17,0,4,10534.27,,7286.55,3643.28,714082.35,109298.29,8954.13,895.41,3458.5,1457.31,3643.28,0,728.66,0,0,0,0,0,Euro Nuts Ltd.,USD/MT,1.0,,0,,0,,0,,0,,0,2022-04-18,2022-05-18,,,,,,,,2022-04-18,System,1,2022-06-11,693802.6,EUR,15.0,1
2022-05-05,CT2022050068,1,1,Continental Distributors,Land Transport Group,11104.94,9439.2,815102.6,South Korea,,,,Cashew Kernels W320,Ghana,,,2022,,FOB,Ghana,Ghana,South Korea,South Korea,LC 90 days,Prompt,May 2022,4,Containers,73.4,73.4,74.87,0,0.0,0,0,,,11104.94,USD/MT,Fixed,,,11104.94,11654.22,USD/MT,,,,,,,1,,0,73.4,0,4,11104.94,,8151.03,4075.51,798800.55,122265.32,9439.2,943.92,3670.0,1630.21,4075.51,0,815.1,0,0,0,0,0,Continental Distributors,USD/MT,1.0,,0,,0,,0,,0,,0,2022-05-05,2022-06-04,,,,,,,,2022-05-05,System,1,2022-05-28,785555.78,GBP,15.0,1
2024-07-18,CT2024070069,0,1,Ocean Trade Partners,Quick Ship Logistics,9505.16,8079.39,873714.31,South Korea,,,,Cashew Kernels W320,Vietnam,,,2024,,EXW,Vietnam,Vietnam,South Korea,South Korea,LC 60 days,Prompt,July 2024,5,Containers,91.92,91.92,93.76,0,0.0,0,0,,,9505.16,USD/MT,Fixed,,,9505.16,9435.55,USD/MT,,,,,,,1,,0,91.92,0,5,9505.16,,8737.14,4368.57,856240.02,131056.78,8079.39,807.94,4596.0,1747.43,4368.57,0,873.71,0,0,0,0,0,Ocean Trade Partners,USD/MT,1.0,,0,,0,,0,,0,,0,2024-07-18,2024-08-17,,,,,,,,2024-07-18,System,1,2024-08-31,847447.41,EUR,15.0,1
